filename,gt,pred
00469588122605-90_92-355&438_477&482-484&480_358&484_357&440_483&436-0_0_14_5_30_25_26-141-14.jpg,皖AQF612,S0
00469827586207-90_88-344&538_476&590-475&596_345&591_342&546_472&551-0_0_4_25_33_25_26-140-15.jpg,皖AE1912,6AE1912
00472222222222-90_91-251&507_379&546-380&542_260&543_261&505_381&504-0_0_26_19_32_29_29-96-23.jpg,皖A2V855,皖A2V855
00474018199234-90_89-407&505_524&557-522&552_411&564_409&507_520&495-0_0_11_16_24_32_24-83-11.jpg,皖AMS080,皖AMS080
00474137931034-90_85-268&382_407&428-405&433_272&432_268&387_401&388-0_0_2_33_15_32_33-124-20.jpg,皖AC9R89,除AC9R89
00474137931034-90_87-268&523_389&569-382&575_269&572_267&527_380&530-0_0_31_29_25_6_30-54-5.jpg,皖A751G6,1A751G6
00474137931034-90_90-260&496_384&539-389&544_260&546_261&496_390&494-0_0_20_30_30_29_15-150-21.jpg,皖AW665R,TNN0
00475095785441-90_86-406&442_545&486-539&490_411&484_413&441_541&447-0_0_13_2_32_30_30-111-13.jpg,皖APC866,CACCEA
00475095785441-90_90-303&563_449&597-448&603_304&604_303&557_447&556-0_0_3_21_26_31_29-149-16.jpg,皖ADX275,皖ADX275
00475095785441-90_91-246&413_390&452-382&447_250&450_248&408_380&405-0_0_17_26_27_28_29-113-13.jpg,皖AT2345,皖AT2345
00477729885057-90_87-389&469_519&515-510&513_394&511_394&472_510&474-0_0_33_31_33_11_33-96-9.jpg,皖A979M9,皖A979M9
00477729885057-91_87-238&493_372&544-363&542_248&531_250&492_365&503-0_0_21_30_0_30_31-103-19.jpg,皖AX6A67,皖AX6A6
0047808908046-90_90-198&424_334&471-333&478_193&479_194&431_334&430-0_0_18_25_27_33_33-131-7.jpg,皖AU1399,皖AU1399
00478448275862-90_91-296&554_419&600-414&599_295&595_297&552_416&556-0_0_5_19_24_32_27-127-11.jpg,皖AFV083,皖AFV083
00478448275862-91_91-277&501_399&552-400&546_276&543_277&502_401&505-0_0_5_32_30_30_17-180-7.jpg,皖AF866T,DAF866T
00478448275862-92_87-377&497_507&550-499&547_386&541_387&503_500&509-0_0_30_33_31_16_30-58-15.jpg,皖A697S6,697S6
00478448275862-93_88-443&408_565&461-556&457_444&454_446&416_558&419-0_0_27_31_31_29_32-68-14.jpg,皖A37758,皖A37758
00480363984674-90_90-287&434_428&481-418&474_295&474_297&433_420&433-0_0_23_25_31_26_20-97-17.jpg,皖AZ172W,皖AZI72W
00480363984674-90_90-336&378_479&422-476&424_330&425_329&376_475&375-0_0_7_31_31_26_11-103-15.jpg,皖AH772M,皖AH772M
